,symbol,min_date,max_date,missing_dates_per,latest_closing_price,growth_per_30,avg_vol_30,growth_per_7,avg_vol_7,latest_signal,latest_trend,signal_start_date,signal_duration,trend_start_date,trend_duration
1273,MANOMAY,2023-01-18,2024-10-18,6.26,211.08,-11.5,11148,-2.29,17216,Buy,-1,2024-07-16 00:00:00,94,2024-10-14 00:00:00,4
1274,MANORAMA,2022-07-01,2024-10-18,5.65,934.1,11.91,73384,2.09,62668,Buy,1,2024-10-08 00:00:00,10,2024-10-17 00:00:00,1
1275,MANORG,2021-11-02,2024-10-18,5.61,545.9,-11.66,3971,1.59,2680,Buy,1,2024-10-11 00:00:00,7,2024-10-17 00:00:00,1
1276,MANPASAND,2015-07-09,2024-10-18,5.81,5.85,0.0,0,0.0,0,Sell,1,2024-10-17 00:00:00,1,2020-06-05 00:00:00,1596
1277,MANUGRAPH,2006-09-14,2024-10-18,5.86,23.6,-11.23,157762,-1.86,22992,Sell,-1,2024-10-04 00:00:00,14,2024-10-17 00:00:00,1
1278,MANYAVAR,2022-02-16,2024-10-18,5.61,1325.35,2.92,286471,0.8,296338,Buy,-1,2024-09-20 00:00:00,28,2024-10-16 00:00:00,2
1279,MAPMYINDIA,2021-12-21,2024-10-18,5.41,2148.0,3.36,130584,1.35,67022,Buy,-1,2024-03-14 00:00:00,218,2024-10-16 00:00:00,2
1280,MARALOVER,2002-07-01,2024-10-18,5.13,74.49,-3.88,43089,-8.22,26657,Buy,-1,2024-07-24 00:00:00,86,2024-10-16 00:00:00,2
1281,MARATHON,2016-09-29,2024-10-18,5.68,600.75,-8.54,138516,-5.61,36181,Buy,-1,2024-09-13 00:00:00,35,2024-10-14 00:00:00,4
1282,MARICO,1996-05-01,2024-10-18,3.94,669.3,-3.91,2583621,-3.01,1514262,Sell,1,2024-08-05 00:00:00,74,2024-10-17 00:00:00,1
1283,MARINE,2018-10-26,2024-10-18,5.72,233.09,0.33,218039,-3.53,202071,Buy,1,2024-10-04 00:00:00,14,2024-10-16 00:00:00,2
1284,MARKSANS,2002-07-19,2024-10-18,5.12,281.8,-2.48,5172573,-2.86,1432264,Buy,-1,2024-09-03 00:00:00,45,2024-10-16 00:00:00,2
1285,MARSHALL,2018-09-25,2024-10-18,5.87,34.14,-13.2,254255,-2.52,162703,Buy,1,2024-07-16 00:00:00,94,2024-10-17 00:00:00,1
1286,MARUTI,2003-07-09,2024-10-18,5.31,12105.1,-1.62,557178,-6.35,481376,Sell,-1,2024-10-01 00:00:00,17,2024-10-10 00:00:00,8
1287,MASFIN,2017-10-18,2024-10-18,5.71,300.0,0.67,252205,2.78,290409,Sell,1,2024-09-26 00:00:00,22,2024-10-07 00:00:00,11
1288,MASKINVEST,2016-10-14,2024-10-18,5.66,130.48,28.47,1075,20.16,419,Buy,1,2024-10-08 00:00:00,10,2024-10-14 00:00:00,4
1289,MASTEK,2002-07-01,2024-10-18,5.05,3017.6,10.47,142071,10.17,399761,Buy,1,2024-08-20 00:00:00,59,2024-10-10 00:00:00,8
1290,MATRIMONY,2017-09-21,2024-10-18,5.7,827.95,7.04,57471,3.71,81985,Buy,-1,2024-07-31 00:00:00,79,2024-10-17 00:00:00,1
1291,MAWANASUG,2009-03-20,2024-10-18,5.78,112.98,-5.11,307774,-2.78,153687,Buy,1,2024-06-12 00:00:00,128,2024-10-17 00:00:00,1
1292,MAXESTATES,2023-10-30,2024-10-18,7.09,611.95,2.85,197978,-2.12,139423,Buy,1,2024-08-12 00:00:00,67,2024-10-17 00:00:00,1
1293,MAXHEALTH,2020-08-21,2024-10-18,5.35,937.4,-2.52,3199538,-1.06,812312,Buy,1,2024-09-19 00:00:00,29,2024-10-17 00:00:00,1
1294,MAXIND,2020-08-28,2024-10-18,5.47,268.2,9.44,57112,2.2,46881,Buy,-1,2023-10-11 00:00:00,373,2024-10-17 00:00:00,1
1295,MAYURUNIQ,2012-09-25,2024-10-18,5.92,621.8,-3.24,69738,-0.03,39279,Buy,1,2024-07-24 00:00:00,86,2024-10-17 00:00:00,1
1296,MAZDA,2016-11-02,2024-10-18,5.59,1289.45,0.92,9300,-2.46,4215,Buy,-1,2024-07-10 00:00:00,100,2024-10-17 00:00:00,1
1297,MAZDOCK,2020-10-12,2024-10-18,5.41,4526.35,6.05,2137092,0.55,3237859,Buy,1,2024-09-03 00:00:00,45,2024-10-17 00:00:00,1
1298,MBAPL,2016-09-12,2024-10-18,5.66,229.95,5.73,18092,6.54,32532,Buy,-1,2024-10-14 00:00:00,4,2024-10-15 00:00:00,3
1299,MBECL,2006-10-06,2024-10-18,5.87,4.57,-7.5,71795,-7.27,12824,Buy,-1,2024-08-06 00:00:00,73,2024-10-01 00:00:00,17
1300,MBLINFRA,2010-01-11,2024-10-18,5.76,59.22,-6.92,68977,-2.93,39740,Buy,-1,2024-10-03 00:00:00,15,2024-10-16 00:00:00,2
1301,MCDHOLDING,2002-08-12,2024-10-18,5.18,68.75,0.0,0,0.0,0,Sell,-1,2024-10-17 00:00:00,1,2022-08-19 00:00:00,791
1302,MCL,2017-03-15,2024-10-18,5.7,36.39,-1.11,101269,-6.97,208544,Buy,-1,2024-10-10 00:00:00,8,2024-10-11 00:00:00,7
1303,MCLEODRUSS,2002-08-12,2024-10-18,5.18,31.23,20.45,2121083,-8.82,1254772,Buy,1,2024-09-25 00:00:00,23,2024-10-16 00:00:00,2
1304,MCX,2012-03-09,2024-10-18,5.84,6561.15,11.61,520448,1.86,474924,Sell,1,2024-10-11 00:00:00,7,2024-10-17 00:00:00,1
1305,MEDANTA,2022-11-18,2024-10-18,5.73,1067.75,-3.95,833880,4.56,721025,Buy,-1,2024-10-11 00:00:00,7,2024-10-16 00:00:00,2
1306,MEDIASSIST,2024-01-23,2024-10-18,5.63,640.65,-4.62,243059,-3.97,131840,Buy,-1,2024-09-03 00:00:00,45,2024-10-14 00:00:00,4
1307,MEDICAMEQ,2021-10-27,2024-10-18,5.42,544.25,13.15,138673,-7.14,20979,Buy,1,2024-09-24 00:00:00,24,2024-10-17 00:00:00,1
1308,MEDICO,2022-05-26,2024-10-18,5.57,48.94,1.03,106769,-0.2,106271,Sell,1,2024-10-15 00:00:00,3,2024-10-17 00:00:00,1
1309,MEDPLUS,2021-12-23,2024-10-18,5.6,681.85,0.68,345516,1.47,254726,Buy,1,2024-02-15 00:00:00,246,2024-10-17 00:00:00,1
1310,MEGASOFT,2007-07-19,2024-10-18,5.88,62.63,-4.39,743142,-5.8,87898,Buy,1,2024-09-23 00:00:00,25,2024-10-17 00:00:00,1
1311,MEGASTAR,2022-02-16,2024-10-18,5.78,253.55,-10.22,32336,0.49,11339,Buy,1,2024-09-24 00:00:00,24,2024-10-17 00:00:00,1
1312,MELSTAR,2002-07-01,2024-10-18,5.11,4.25,0.0,0,0.0,0,Sell,-1,2024-08-30 00:00:00,49,2024-08-30 00:00:00,49
1313,MENONBE,2015-03-09,2024-10-18,5.73,124.09,-5.83,179464,-0.63,44508,Buy,-1,2024-06-21 00:00:00,119,2024-10-16 00:00:00,2
1314,MEP,2015-05-06,2024-10-18,5.7,3.6,-46.81,542348,-14.73,1573187,Sell,1,2024-09-20 00:00:00,28,2024-10-17 00:00:00,1
1315,MERCATOR,2005-06-20,2024-10-18,5.81,0.85,0.0,0,0.0,0,Buy,-1,2022-01-20 00:00:00,1002,2023-02-13 00:00:00,613
1316,METAL,2024-10-09,2024-10-18,0.0,0.85,-0.13,178716,-5.67,181058,Null,0,Null,0,Null,0
1317,METALFORGE,2002-07-01,2024-10-18,5.08,4.05,0.0,0,0.0,0,Sell,-1,2024-03-21 00:00:00,211,2024-05-14 00:00:00,157
1318,METALIETF,2024-08-20,2024-10-18,3.45,9.76,2.96,6875529,-3.06,3927403,Buy,1,2024-09-23 00:00:00,25,2024-10-17 00:00:00,1
1319,METKORE,2002-08-12,2024-10-18,5.11,0.65,0.0,0,0.0,0,Sell,1,2024-10-17 00:00:00,1,2021-02-22 00:00:00,1334
1320,METROBRAND,2021-12-22,2024-10-18,5.49,1234.3,-0.55,84240,1.82,62866,Buy,-1,2024-01-24 00:00:00,268,2024-10-17 00:00:00,1
1321,METROPOLIS,2019-04-15,2024-10-18,5.8,2205.65,1.84,141740,-3.06,108185,Sell,1,2024-10-11 00:00:00,7,2024-10-17 00:00:00,1
1322,MFML,2024-08-27,2024-10-18,1.85,55.98,-4.61,4657,-3.12,1861,Buy,-1,2024-09-23 00:00:00,25,2024-10-15 00:00:00,3
1323,MFSL,1996-01-01,2024-10-18,3.93,1196.65,2.97,787947,-0.24,664297,Buy,1,2024-07-23 00:00:00,87,2024-10-17 00:00:00,1
1324,MGEL,2019-12-11,2024-10-18,5.32,26.34,5.83,183910,-0.64,183449,Sell,-1,2024-10-11 00:00:00,7,2024-10-15 00:00:00,3
1325,MGL,2016-07-01,2024-10-18,5.7,1582.25,-14.89,762774,-12.59,1090321,Sell,-1,2024-10-04 00:00:00,14,2024-10-15 00:00:00,3
1326,MHLXMIRU,2022-01-27,2024-10-18,5.66,158.92,-7.66,10880,-6.3,11729,Sell,1,2024-10-04 00:00:00,14,2024-10-17 00:00:00,1
1327,MHRIL,2009-07-16,2024-10-18,5.79,377.9,-8.18,191614,-3.86,143821,Sell,-1,2024-08-13 00:00:00,66,2024-10-16 00:00:00,2
1328,MICEL,2007-05-30,2024-10-18,5.83,94.13,-14.46,802312,-5.11,418736,Buy,-1,2024-09-23 00:00:00,25,2024-10-16 00:00:00,2
1329,MID150BEES,2019-02-04,2024-10-18,14.56,223.88,-2.09,553815,-0.79,337441,Sell,1,2020-12-18 00:00:00,1400,2024-10-17 00:00:00,1
1330,MID150CASE,2024-06-19,2024-10-18,4.0,10.77,-0.96,352628,0.25,240079,Sell,1,2024-07-05 00:00:00,105,2024-10-17 00:00:00,1
1331,MIDCAP,2024-03-12,2024-10-18,6.71,167.68,-2.24,37701,-1.37,25459,Sell,-1,2024-07-18 00:00:00,92,2024-10-16 00:00:00,2
1332,MIDCAPETF,2024-06-19,2024-10-18,3.81,22.04,-3.19,2179762,-0.96,1515997,Sell,1,2024-07-05 00:00:00,105,2024-10-17 00:00:00,1
1333,MIDCAPIETF,2020-01-28,2024-10-18,5.56,22.37,-1.91,731301,-1.1,410694,Sell,1,2023-12-19 00:00:00,304,2024-10-17 00:00:00,1
1334,MIDHANI,2018-04-04,2024-10-18,5.76,369.7,-6.07,419926,-2.52,281737,Sell,-1,2024-08-02 00:00:00,77,2024-10-16 00:00:00,2
1335,MIDQ50ADD,2023-01-30,2024-10-18,10.43,260.79,-1.61,6971,-1.13,2840,Sell,-1,2023-10-20 00:00:00,364,2024-10-16 00:00:00,2
1336,MIDSELIETF,2018-05-09,2024-10-18,6.03,18.55,-2.0,372616,-0.27,167767,Sell,1,2022-12-22 00:00:00,666,2024-10-17 00:00:00,1
1337,MIDSMALL,2024-05-28,2024-10-18,4.35,54.26,-0.84,503502,-0.64,528856,Sell,-1,2024-07-16 00:00:00,94,2024-10-15 00:00:00,3
1338,MINDACORP,2012-03-19,2024-10-18,5.87,536.5,-2.87,1840230,-7.99,387760,Buy,1,2024-09-20 00:00:00,28,2024-10-17 00:00:00,1
1339,MINDTECK,2016-08-02,2024-10-18,5.68,271.5,-19.24,7353,2.3,7237,Buy,-1,2024-06-06 00:00:00,134,2024-10-16 00:00:00,2
1340,MIRCELECTR,2002-07-01,2024-10-18,5.11,22.26,-12.85,413281,-1.61,275948,Sell,-1,2024-10-04 00:00:00,14,2024-10-16 00:00:00,2
1341,MIRZAINT,2002-07-01,2024-10-18,5.07,42.72,-5.39,282053,-0.49,199446,Sell,-1,2024-07-03 00:00:00,107,2024-10-14 00:00:00,4
1342,MITCON,2017-03-15,2024-10-18,5.71,115.34,-10.5,12963,-4.71,13366,Buy,-1,2024-06-11 00:00:00,129,2024-10-15 00:00:00,3
1343,MITTAL,2018-04-16,2024-10-18,5.77,2.11,7.03,3048667,-3.51,2598059,Buy,-1,2024-09-26 00:00:00,22,2024-10-16 00:00:00,2
1344,MKPL,2017-07-27,2024-10-18,5.78,9.01,-6.75,417193,-0.71,154311,Sell,-1,2024-09-11 00:00:00,37,2024-10-14 00:00:00,4
1345,MMFL,2006-12-20,2024-10-18,5.88,540.65,-8.62,42625,-5.33,35275,Sell,-1,2024-06-03 00:00:00,137,2024-10-09 00:00:00,9
1346,MMP,2018-04-26,2024-10-18,5.82,384.05,2.33,26268,5.05,35137,Buy,1,2024-07-25 00:00:00,85,2024-10-14 00:00:00,4
1347,MMTC,2010-01-08,2024-10-18,5.76,82.3,-11.61,2075137,-3.23,1345759,Sell,1,2024-10-04 00:00:00,14,2024-10-17 00:00:00,1
1348,MNC,2022-08-05,2024-10-18,6.43,31.49,-0.75,91845,-2.72,88495,Sell,-1,2024-08-02 00:00:00,77,2024-10-16 00:00:00,2
1349,MODEFENCE,2024-08-28,2024-10-18,1.89,73.09,-1.47,451572,-1.37,366614,Sell,1,2024-09-13 00:00:00,35,2024-10-17 00:00:00,1
1350,MODIRUBBER,2018-06-20,2024-10-18,5.9,128.52,-6.91,5430,1.33,3522,Buy,-1,2023-03-31 00:00:00,567,2024-10-16 00:00:00,2
1351,MODISONLTD,2021-05-03,2024-10-18,5.32,172.78,-21.01,176855,-7.2,15333,Buy,1,2024-09-16 00:00:00,32,2024-10-17 00:00:00,1
1352,MODTHREAD,2024-02-16,2024-10-18,6.08,56.0,-11.08,1860,1.86,957,Buy,-1,2024-06-21 00:00:00,119,2024-10-16 00:00:00,2
1353,MOHEALTH,2022-08-04,2024-10-18,6.08,44.71,0.75,124345,0.15,129833,Buy,1,2023-07-03 00:00:00,473,2024-10-17 00:00:00,1
1354,MOHITIND,2013-03-14,2024-10-18,5.94,27.27,-1.88,26070,0.32,37903,Buy,-1,2024-06-19 00:00:00,121,2024-10-16 00:00:00,2
1355,MOIL,2010-12-15,2024-10-18,5.87,368.05,-6.14,1211389,-3.87,575264,Sell,1,2024-06-03 00:00:00,137,2024-10-17 00:00:00,1
1356,MOKSH,2018-01-03,2024-10-18,5.84,19.62,-11.28,127458,-6.69,106963,Sell,1,2024-10-04 00:00:00,14,2024-10-17 00:00:00,1
1357,MOL,2021-08-18,2024-10-18,5.62,109.37,3.77,1837355,7.23,4742924,Buy,-1,2024-10-10 00:00:00,8,2024-10-16 00:00:00,2
1358,MOLDTECH,2016-07-07,2024-10-18,5.64,220.93,-4.76,62685,-3.24,26804,Buy,-1,2024-09-03 00:00:00,45,2024-10-17 00:00:00,1
1359,MOLDTKPAC,2015-02-23,2024-10-18,5.74,727.25,-7.62,58335,-1.08,30540,Sell,-1,2024-10-04 00:00:00,14,2024-10-17 00:00:00,1
1360,MOLOWVOL,2022-03-30,2024-10-18,5.72,39.58,-2.04,74742,-0.18,58274,Buy,1,2023-08-08 00:00:00,437,2024-10-17 00:00:00,1
1361,MOM30IETF,2024-06-24,2024-10-18,4.12,37.39,-0.47,2373839,-2.43,1097055,Sell,1,2024-08-02 00:00:00,77,2024-10-17 00:00:00,1
1362,MOMENTUM,2022-08-19,2024-10-18,6.0,37.11,-0.44,185476,-1.36,99268,Sell,1,2024-06-04 00:00:00,136,2024-10-17 00:00:00,1
1363,MOMENTUM50,2024-09-30,2024-10-18,4.35,62.73,-2.58,369722,-3.11,491793,Sell,1,2024-10-10 00:00:00,8,2024-10-17 00:00:00,1
1364,MOMOMENTUM,2022-02-17,2024-10-18,8.52,74.38,-0.59,241285,-2.4,270571,Sell,1,2024-10-04 00:00:00,14,2024-10-17 00:00:00,1
1365,MONARCH,2022-01-06,2024-10-18,5.45,435.5,0.48,239458,7.33,413774,Sell,1,2024-09-06 00:00:00,42,2024-10-17 00:00:00,1
1366,MONIFTY500,2023-10-06,2024-10-18,6.99,435.5,-1.7,393655,-1.09,291556,Null,0,Null,0,Null,0
1367,MONTECARLO,2014-12-19,2024-10-18,5.77,830.55,-1.08,50790,-1.21,83366,Buy,-1,2024-08-20 00:00:00,59,2024-10-14 00:00:00,4
1368,MOQUALITY,2022-08-26,2024-10-18,5.96,207.61,-3.55,4959,-1.79,3493,Sell,-1,2024-05-28 00:00:00,143,2024-10-11 00:00:00,7
1369,MORARJEE,2007-12-03,2024-10-18,5.94,11.02,-15.32,13680,4.13,25963,Buy,-1,2024-09-30 00:00:00,18,2024-10-17 00:00:00,1
1370,MOREALTY,2024-03-21,2024-10-18,7.01,104.93,-1.24,365531,-0.26,226506,Sell,1,2024-10-01 00:00:00,17,2024-10-17 00:00:00,1
1371,MOREPENLAB,1996-01-01,2024-10-18,3.93,85.56,-3.41,11672964,-4.21,16292914,Sell,-1,2024-10-04 00:00:00,14,2024-10-16 00:00:00,2
1372,MOSMALL250,2024-03-21,2024-10-18,6.88,18.27,-2.07,872375,0.1,647988,Sell,-1,2024-04-05 00:00:00,196,2024-10-16 00:00:00,2
1373,MOTHERSON,2002-07-01,2024-10-18,5.09,205.14,1.03,25968797,-4.16,11731053,Sell,1,2024-10-04 00:00:00,14,2024-10-17 00:00:00,1
1374,MOTILALOFS,2007-09-11,2024-10-18,5.91,1029.7,24.4,2610082,23.82,8063201,Buy,1,2024-06-07 00:00:00,133,2024-10-17 00:00:00,1
1375,MOTISONS,2023-12-26,2024-10-18,5.91,299.4,11.36,2381931,1.86,246866,Buy,-1,2024-09-06 00:00:00,42,2024-10-17 00:00:00,1
1376,MOTOGENFIN,2002-07-23,2024-10-18,5.09,37.63,-9.65,30155,-3.05,25049,Buy,1,2024-06-12 00:00:00,128,2024-10-17 00:00:00,1
1377,MOVALUE,2022-08-26,2024-10-18,6.06,107.05,-1.25,158007,-0.98,75966,Sell,1,2024-06-04 00:00:00,136,2024-10-17 00:00:00,1
1378,MPHASIS,2002-07-01,2024-10-18,5.11,3095.75,-0.21,898757,6.71,1438272,Buy,1,2024-10-16 00:00:00,2,2024-10-16 00:00:00,2
1379,MPSLTD,2002-07-01,2024-10-18,5.11,2180.25,4.09,13636,5.09,12760,Buy,-1,2024-08-08 00:00:00,71,2024-10-17 00:00:00,1
1380,MRF,2002-07-01,2024-10-18,5.11,129444.65,-3.92,6969,-1.96,4388,Sell,-1,2024-10-01 00:00:00,17,2024-10-09 00:00:00,9
1381,MRPL,1996-01-01,2024-10-18,3.92,165.53,-12.6,1823005,-5.3,1525987,Sell,-1,2024-09-12 00:00:00,36,2024-10-16 00:00:00,2
1382,MSPL,2005-07-18,2024-10-18,5.83,49.29,-8.67,2246386,-8.01,530844,Sell,-1,2024-08-28 00:00:00,51,2024-10-11 00:00:00,7
1383,MSTCLTD,2019-04-01,2024-10-18,5.69,694.35,-2.77,370361,0.79,258478,Buy,-1,2024-10-08 00:00:00,10,2024-10-16 00:00:00,2
1384,MSUMI,2022-03-28,2024-10-18,5.54,64.14,-8.7,7182780,-3.55,7595745,Sell,1,2024-10-01 00:00:00,17,2024-10-17 00:00:00,1
1385,MTARTECH,2021-03-15,2024-10-18,5.63,1681.4,-2.99,130466,-5.83,181755,Buy,-1,2024-10-07 00:00:00,11,2024-10-15 00:00:00,3
1386,MTEDUCARE,2012-04-12,2024-10-18,5.87,3.31,-19.07,2005,-5.16,1593,Sell,-1,2024-09-20 00:00:00,28,2024-09-20 00:00:00,28
1387,MTNL,1996-01-01,2024-10-18,3.92,52.06,-8.05,4293669,-0.56,4326255,Buy,1,2024-10-11 00:00:00,7,2024-10-17 00:00:00,1
1388,MUFIN,2023-11-06,2024-10-18,6.4,108.75,-12.6,66832,-2.8,65933,Buy,1,2024-06-06 00:00:00,134,2024-10-17 00:00:00,1
1389,MUFTI,2023-12-27,2024-10-18,5.31,189.62,-7.64,278717,-4.56,154761,Buy,1,2024-08-05 00:00:00,74,2024-10-17 00:00:00,1
1390,MUKANDENGG,2002-07-01,2022-06-08,5.07,30.75,0.0,3705,0.0,434,Buy,1,2022-01-07 00:00:00,152,2022-01-07 00:00:00,152
1391,MUKANDLTD,2002-07-01,2024-10-18,5.09,152.59,-7.29,312533,-3.17,89996,Buy,-1,2024-07-25 00:00:00,85,2024-10-11 00:00:00,7
1392,MUKKA,2024-03-07,2024-10-18,6.55,41.76,-6.25,1220989,-5.61,668566,Buy,1,2024-08-16 00:00:00,63,2024-10-17 00:00:00,1
1393,MUKTAARTS,2002-07-01,2024-10-18,5.13,81.81,-2.15,489713,-6.93,19059,Sell,1,2024-09-26 00:00:00,22,2024-10-17 00:00:00,1
1394,MULTICAP,2024-09-05,2024-10-18,2.13,16.43,-3.99,209204,-1.97,116286,Sell,1,2024-09-24 00:00:00,24,2024-10-17 00:00:00,1
1395,MUNJALAU,2003-09-03,2024-10-18,5.35,143.44,12.48,908276,8.79,1601704,Buy,1,2024-08-30 00:00:00,49,2024-10-17 00:00:00,1
1396,MUNJALSHOW,2002-07-01,2024-10-18,5.11,162.52,-3.55,134035,1.01,74375,Sell,-1,2024-09-27 00:00:00,21,2024-10-16 00:00:00,2
1397,MURUDCERA,2004-05-28,2024-10-18,5.57,54.18,-10.07,99350,-4.84,59131,Sell,-1,2024-10-04 00:00:00,14,2024-10-11 00:00:00,7
1398,MUTHOOTCAP,2015-08-24,2024-10-18,5.89,374.65,5.52,122061,2.38,37243,Buy,-1,2024-08-21 00:00:00,58,2024-10-17 00:00:00,1
1399,MUTHOOTFIN,2011-05-06,2024-10-18,5.88,1968.75,-3.38,616213,0.59,304198,Sell,1,2024-05-29 00:00:00,142,2024-10-17 00:00:00,1
1400,MUTHOOTMF,2023-12-26,2024-10-18,6.73,216.6,-4.87,194142,-3.27,93405,Sell,-1,2024-10-04 00:00:00,14,2024-10-10 00:00:00,8
1401,MVGJL,2023-10-03,2024-10-18,6.16,253.5,-14.46,746031,-2.11,241820,Buy,-1,2024-09-06 00:00:00,42,2024-10-16 00:00:00,2
1402,MVL,2008-06-30,2024-10-18,5.95,0.05,0.0,0,0.0,0,Buy,-1,2024-10-17 00:00:00,1,2020-02-20 00:00:00,1702
1403,NACLIND,2017-04-10,2024-10-18,5.7,53.48,-4.32,101248,0.23,69921,Buy,-1,2024-07-24 00:00:00,86,2024-10-17 00:00:00,1
1404,NAGAFERT,2002-08-12,2024-10-18,5.18,10.92,-4.39,1958363,-7.26,1033745,Buy,-1,2023-12-05 00:00:00,318,2024-10-16 00:00:00,2
1405,NAGREEKCAP,2005-12-23,2024-10-18,5.84,28.98,15.54,8119,3.98,7632,Sell,1,2024-10-11 00:00:00,7,2024-10-17 00:00:00,1
1406,NAGREEKEXP,2005-12-22,2024-10-18,5.84,37.87,-10.41,22025,-3.33,8430,Buy,1,2024-06-25 00:00:00,115,2024-10-17 00:00:00,1
1407,NAHARCAP,2008-03-11,2024-10-18,5.93,302.2,-6.83,10058,-0.99,7647,Sell,1,2024-09-20 00:00:00,28,2024-10-17 00:00:00,1
1408,NAHARINDUS,2005-12-15,2024-10-18,5.83,143.35,-6.34,51096,0.92,39314,Sell,-1,2024-10-04 00:00:00,14,2024-10-17 00:00:00,1
1409,NAHARPOLY,2002-07-01,2024-10-18,5.06,238.77,-5.42,10405,-5.76,6464,Buy,-1,2024-06-28 00:00:00,112,2024-10-11 00:00:00,7
1410,NAHARSPING,2002-07-01,2024-10-18,5.06,271.4,-9.47,33904,-3.48,17277,Sell,-1,2024-10-04 00:00:00,14,2024-10-16 00:00:00,2
1411,NARMADA,2018-05-04,2024-10-18,5.74,15.41,-20.05,69112,-7.08,194856,Buy,1,2024-10-11 00:00:00,7,2024-10-17 00:00:00,1
1412,NATCOPHARM,1996-01-01,2024-10-18,3.91,1398.65,-10.0,913971,-3.22,498050,Buy,1,2024-08-21 00:00:00,58,2024-10-17 00:00:00,1
1413,NATHBIOGEN,2014-01-28,2024-10-18,5.88,204.0,-6.42,14612,-0.96,14593,Sell,-1,2024-10-04 00:00:00,14,2024-10-11 00:00:00,7
1414,NATIONALUM,1999-04-28,2024-10-18,4.44,232.12,23.94,28038571,3.41,28840220,Buy,1,2024-09-23 00:00:00,25,2024-10-16 00:00:00,2
1415,NAUKRI,2006-11-21,2024-10-18,5.84,8088.85,3.79,264731,-3.63,161437,Sell,1,2024-07-26 00:00:00,84,2024-10-17 00:00:00,1
1416,NAVA,2002-07-01,2024-10-18,5.1,1004.25,-22.89,530599,-4.51,98060,Buy,-1,2024-10-11 00:00:00,7,2024-10-15 00:00:00,3
1417,NAVINFLUOR,2007-06-01,2024-10-18,5.83,3375.65,3.33,197440,-1.58,269351,Buy,1,2024-09-30 00:00:00,18,2024-10-17 00:00:00,1
1418,NAVINIFTY,2023-09-26,2024-10-18,7.66,302.6,16.54,1754,-0.3,903,Buy,-1,2024-09-24 00:00:00,24,2024-10-16 00:00:00,2
1419,NAVKARCORP,2015-09-09,2024-10-18,5.92,136.6,-3.3,605311,6.29,1018188,Buy,1,2024-06-07 00:00:00,133,2024-10-17 00:00:00,1
1420,NAVNETEDUL,2002-07-01,2024-10-18,5.06,137.81,-7.61,189609,-3.71,121534,Buy,-1,2024-08-16 00:00:00,63,2024-10-09 00:00:00,9
1421,NAZARA,2021-03-30,2024-10-18,5.58,926.8,-15.48,706810,-2.36,311399,Sell,1,2024-10-04 00:00:00,14,2024-10-17 00:00:00,1
1422,NBCC,2012-04-12,2024-10-18,5.81,107.97,-38.78,11491881,-6.5,4928175,Sell,-1,2024-09-27 00:00:00,21,2024-10-16 00:00:00,2
1423,NBIFIN,2016-12-07,2024-10-18,5.6,2478.0,2.03,300,3.7,339,Sell,1,2024-07-05 00:00:00,105,2024-10-16 00:00:00,2
1424,NCC,2002-08-12,2024-10-18,5.13,310.9,-1.35,3121568,3.13,2163880,Buy,1,2024-06-05 00:00:00,135,2024-10-14 00:00:00,4
1425,NCLIND,2007-04-03,2024-10-18,5.82,210.2,-3.3,100046,-2.58,78970,Sell,-1,2024-08-08 00:00:00,71,2024-10-14 00:00:00,4
1426,NDGL,2016-08-30,2024-10-18,5.72,5748.6,59.5,1219,12.42,3440,Buy,-1,2024-10-10 00:00:00,8,2024-10-16 00:00:00,2
1427,NDL,2005-12-29,2024-10-18,5.82,5.69,-10.93,11837397,-4.8,2484201,Buy,-1,2024-07-10 00:00:00,100,2024-10-16 00:00:00,2
1428,NDLVENTURE,2022-11-10,2024-10-18,9.16,121.37,1.65,56735,1.85,93548,Sell,1,2024-10-04 00:00:00,14,2024-10-17 00:00:00,1
1429,NDRAUTO,2020-07-30,2024-10-18,5.18,835.65,-55.88,64961,-3.26,26240,Buy,1,2024-06-25 00:00:00,115,2024-10-17 00:00:00,1
1430,NDTV,2004-05-19,2024-10-18,5.58,175.41,-10.04,139306,-4.45,77159,Sell,1,2024-09-30 00:00:00,18,2024-10-17 00:00:00,1
1431,NECCLTD,2016-03-02,2024-10-18,5.81,30.2,-6.77,123280,0.73,115632,Buy,-1,2024-03-28 00:00:00,204,2024-10-15 00:00:00,3
1432,NECLIFE,2005-07-18,2024-10-18,5.83,37.28,-21.37,2981735,-4.4,339685,Buy,-1,2024-07-25 00:00:00,85,2024-10-17 00:00:00,1
1433,NELCAST,2007-06-27,2024-10-18,5.83,124.9,-6.74,193177,-1.51,75423,Buy,1,2024-08-06 00:00:00,73,2024-10-17 00:00:00,1
1434,NELCO,2002-07-01,2024-10-18,5.13,969.65,-14.34,135894,-4.1,65687,Buy,1,2024-08-20 00:00:00,59,2024-10-17 00:00:00,1
1435,NEOGEN,2019-05-08,2024-10-18,5.47,2042.9,10.25,332682,-3.71,43149,Buy,-1,2024-09-16 00:00:00,32,2024-10-16 00:00:00,2
1436,NESCO,2008-04-08,2024-10-18,5.92,964.3,-0.36,70941,0.8,105108,Buy,1,2024-08-21 00:00:00,58,2024-10-17 00:00:00,1
1437,NESTLEIND,2002-08-12,2024-10-18,5.07,2350.25,-8.3,1296906,-6.07,1175149,Sell,-1,2024-10-03 00:00:00,15,2024-10-08 00:00:00,10
